Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
1,Barcelona,38,28,9,1,99,29,+70,93,78.3,41.1,+37.2,+0.98
2,Atlético Madrid,38,23,10,5,58,22,+36,79,47.8,37.0,+10.8,+0.28
3,Real Madrid,38,22,10,6,94,44,+50,76,83.3,45.3,+38.0,+1.00
4,Valencia,38,22,7,9,65,38,+27,73,56.0,44.8,+11.2,+0.29
5,Villarreal,38,18,7,13,57,50,+7,61,52.2,55.4,-3.2,-0.09
6,Betis,38,18,6,14,60,61,-1,60,41.1,50.6,-9.5,-0.25
7,Sevilla,38,17,7,14,49,58,-9,58,56.5,55.3,+1.3,+0.03
8,Getafe,38,15,10,13,42,33,+9,55,46.4,36.8,+9.6,+0.25
9,Eibar,38,14,9,15,44,50,-6,51,39.9,44.3,-4.4,-0.12
10,Girona,38,14,9,15,50,59,-9,51,48.9,46.9,+2.0,+0.05
11,Espanyol,38,12,13,13,36,42,-6,49,42.9,47.7,-4.8,-0.13
12,Real Sociedad,38,14,7,17,66,59,+7,49,55.0,47.2,+7.8,+0.21
13,Celta Vigo,38,13,10,15,59,60,-1,49,52.0,51.6,+0.4,+0.01
14,Alavés,38,15,2,21,40,50,-10,47,38.8,53.2,-14.4,-0.38
15,Levante,38,11,13,14,44,58,-14,46,42.4,60.6,-18.1,-0.48
16,Athletic Club,38,10,13,15,41,49,-8,43,45.6,47.4,-1.8,-0.05
17,Leganés,38,12,7,19,34,51,-17,43,40.0,46.7,-6.7,-0.18
18,La Coruña,38,6,11,21,38,76,-38,29,49.2,57.8,-8.6,-0.23
19,Las Palmas,38,5,7,26,24,74,-50,22,38.0,65.2,-27.3,-0.72
20,Málaga,38,5,5,28,24,61,-37,20,33.4,52.7,-19.3,-0.51
