Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
Atlético Madrid,38,26,8,4,67,25,+42,86,52.4,32.7,+19.6,+0.52
Real Madrid,38,25,9,4,67,28,+39,84,61.6,36.5,+25.2,+0.66
Barcelona,38,24,7,7,85,38,+47,79,78.9,39.6,+39.3,+1.03
Sevilla,38,24,5,9,53,33,+20,77,50.9,35.0,+15.9,+0.42
Real Sociedad,38,17,11,10,59,38,+21,62,60.4,36.6,+23.8,+0.63
Betis,38,17,10,11,50,50,0,61,46.0,45.5,+0.5,+0.01
Villarreal,38,15,13,10,60,44,+16,58,58.0,43.5,+14.5,+0.38
Celta Vigo,38,14,11,13,55,57,-2,53,47.7,49.5,-1.8,-0.05
Granada,38,13,7,18,47,65,-18,46,39.5,53.7,-14.2,-0.37
Athletic Club,38,11,13,14,46,42,+4,46,44.4,36.3,+8.1,+0.21
Osasuna,38,11,11,16,37,48,-11,44,37.6,51.3,-13.7,-0.36
Cádiz,38,11,11,16,36,58,-22,44,34.0,55.0,-21.0,-0.55
Valencia,38,10,13,15,50,53,-3,43,43.9,54.0,-10.2,-0.27
Levante,38,9,14,15,46,57,-11,41,41.0,53.9,-13.0,-0.34
Getafe,38,9,11,18,28,43,-15,38,32.7,40.3,-7.7,-0.20
Alavés,38,9,11,18,36,57,-21,38,42.4,50.8,-8.3,-0.22
Elche,38,8,12,18,34,55,-21,36,30.5,58.4,-27.9,-0.73
Huesca,38,7,13,18,34,53,-19,34,35.3,44.3,-9.0,-0.24
Valladolid,38,5,16,17,34,57,-23,31,37.1,51.8,-14.7,-0.39
Eibar,38,6,12,20,29,52,-23,30,41.5,47.0,-5.6,-0.15
