Season,Squad,GF,GA,GD,Pts,xG,xGA,xGD
2021,Bayern Munich,99,44,+55,78,75.8,41.0,+34.8
2021,RB Leipzig,60,32,+28,65,65.3,29.1,+36.2
2021,Dortmund,75,46,+29,64,68.6,40.4,+28.3
2021,Wolfsburg,61,37,+24,61,49.5,42.0,+7.4
2021,Eint Frankfurt,69,53,+16,60,56.1,48.4,+7.7
2021,Leverkusen,53,39,+14,52,47.2,40.4,+6.8
2021,Union Berlin,50,43,+7,50,45.8,41.3,+4.5
2021,M'Gladbach,64,56,+8,49,55.2,44.7,+10.6
2021,Stuttgart,56,55,+1,45,53.2,53.3,-0.1
2021,Freiburg,52,52,0,45,46.2,53.7,-7.5
2021,Hoffenheim,52,54,-2,43,51.8,53.3,-1.6
2021,Mainz 05,39,56,-17,39,47.1,50.9,-3.8
2021,Augsburg,36,54,-18,36,36.1,55.6,-19.4
2021,Hertha BSC,41,52,-11,35,42.4,47.0,-4.6
2021,Arminia,26,52,-26,35,30.7,55.7,-25.0
2021,Köln,34,60,-26,33,39.1,55.3,-16.2
2021,Werder Bremen,36,57,-21,31,33.8,51.0,-17.2
2021,Schalke 04,25,86,-61,16,27.0,68.0,-41.0
1920,Bayern Munich,100,32,+68,82,82.3,34.3,+48.0
1920,Dortmund,84,41,+43,69,59.2,39.4,+19.8
1920,RB Leipzig,81,37,+44,66,71.0,36.2,+34.8
1920,M'Gladbach,66,40,+26,65,66.4,42.4,+23.9
1920,Leverkusen,61,44,+17,63,56.6,45.1,+11.5
1920,Hoffenheim,53,53,0,52,49.9,51.8,-2.0
1920,Wolfsburg,48,46,+2,49,47.3,40.1,+7.3
1920,Freiburg,48,47,+1,48,41.7,60.9,-19.2
1920,Eint Frankfurt,59,60,-1,45,52.5,49.1,+3.4
1920,Hertha BSC,48,59,-11,41,40.6,51.4,-10.8
1920,Union Berlin,41,58,-17,41,38.3,51.5,-13.2
1920,Schalke 04,38,58,-20,39,35.4,49.7,-14.4
1920,Mainz 05,44,65,-21,37,44.3,57.3,-13.0
1920,Köln,51,69,-18,36,47.2,51.5,-4.3
1920,Augsburg,45,63,-18,36,42.1,54.9,-12.9
1920,Werder Bremen,42,69,-27,31,41.4,48.1,-6.7
1920,Düsseldorf,36,67,-31,30,33.0,56.2,-23.2
1920,Paderborn 07,37,74,-37,20,38.4,67.5,-29.0
1819,Bayern Munich,88,32,+56,78,80.8,25.9,+55.0
1819,Dortmund,81,44,+37,76,58.4,39.5,+18.9
1819,RB Leipzig,63,29,+34,66,60.8,35.1,+25.7
1819,Leverkusen,69,52,+17,58,62.1,43.6,+18.5
1819,M'Gladbach,55,42,+13,55,51.1,49.6,+1.5
1819,Wolfsburg,62,50,+12,55,46.2,46.4,-0.2
1819,Eint Frankfurt,60,48,+12,54,55.4,50.5,+4.9
1819,Werder Bremen,58,49,+9,53,49.5,53.9,-4.4
1819,Hoffenheim,70,52,+18,51,73.1,51.9,+21.2
1819,Düsseldorf,49,65,-16,44,46.7,60.2,-13.5
1819,Hertha BSC,49,57,-8,43,47.9,59.4,-11.5
1819,Mainz 05,46,57,-11,43,48.5,57.2,-8.6
1819,Freiburg,46,61,-15,36,42.2,55.4,-13.3
1819,Schalke 04,37,55,-18,33,43.1,49.8,-6.7
1819,Augsburg,51,71,-20,32,43.3,57.5,-14.1
1819,Stuttgart,32,70,-38,28,39.0,57.4,-18.3
1819,Hannover 96,31,71,-40,21,33.7,66.1,-32.4
1819,Nürnberg,26,68,-42,19,33.0,55.7,-22.6
1718,Bayern Munich,92,28,+64,84,77.7,33.6,+44.1
1718,Schalke 04,53,37,+16,63,47.8,42.3,+5.5
1718,Hoffenheim,66,48,+18,55,51.7,47.5,+4.2
1718,Dortmund,64,47,+17,55,63.7,44.5,+19.2
1718,Leverkusen,58,44,+14,55,59.2,37.0,+22.2
1718,RB Leipzig,57,53,+4,53,54.2,45.7,+8.5
1718,Stuttgart,36,36,0,51,39.6,45.7,-6.1
1718,Eint Frankfurt,45,45,0,49,43.5,42.1,+1.3
1718,M'Gladbach,47,52,-5,47,51.4,51.5,-0.1
1718,Hertha BSC,43,46,-3,43,39.9,46.6,-6.7
1718,Werder Bremen,37,40,-3,42,39.9,48.5,-8.7
1718,Augsburg,43,46,-3,41,44.8,42.9,+1.9
1718,Hannover 96,44,54,-10,39,46.0,54.3,-8.3
1718,Mainz 05,38,52,-14,36,35.3,51.5,-16.1
1718,Freiburg,32,56,-24,36,41.3,50.6,-9.3
1718,Wolfsburg,36,48,-12,33,39.2,49.5,-10.3
1718,Hamburger SV,29,53,-24,31,37.0,52.5,-15.6
1718,Köln,35,70,-35,22,42.2,67.8,-25.5
