Season,Squad,GF,GA,GD,Pts,xG,xGA,xGD
2021,Chelsea,69,10,+59,57,57.4,12.7,+44.7
2021,Manchester City,65,13,+52,55,55.5,13.1,+42.5
2021,Arsenal,63,15,+48,48,52.7,15.3,+37.5
2021,Manchester Utd,44,20,+24,47,42.1,20.2,+21.8
2021,Everton,39,30,+9,32,31.0,30.4,+0.6
2021,Brighton,21,41,-20,27,20.8,39.2,-18.4
2021,Reading,25,41,-16,24,28.5,38.9,-10.4
2021,Tottenham,18,41,-23,20,19.5,35.2,-15.7
2021,West Ham,21,39,-18,15,22.8,37.1,-14.3
2021,Aston Villa LFC,15,47,-32,15,15.3,39.8,-24.5
2021,Birmingham City,15,44,-29,14,10.8,39.9,-29.1
2021,Bristol City,18,72,-54,12,17.2,51.7,-34.5
1920,Chelsea,47,11,+36,39,37.9,8.9,+28.9
1920,Manchester City,39,9,+30,40,31.9,13.9,+17.9
1920,Arsenal,40,13,+27,36,29.0,10.8,+18.3
1920,Manchester Utd,24,12,+12,23,20.7,12.0,+8.8
1920,Reading,21,24,-3,21,21.7,18.0,+3.7
1920,Everton,21,21,0,19,14.5,19.6,-5.2
1920,Tottenham,15,24,-9,20,15.8,24.3,-8.5
1920,West Ham,19,34,-15,16,14.2,26.1,-11.9
1920,Brighton,11,30,-19,13,14.9,25.4,-10.5
1920,Bristol City,9,38,-29,9,8.4,30.7,-22.3
1920,Birmingham City,5,23,-18,7,7.6,20.2,-12.5
1920,Liverpool,8,20,-12,6,12.2,18.9,-6.7
Season,Squad,GF,GA,GD,Pts,xG,xGA,xGD
1819,Arsenal,70,13,+57,54,48.2,12.5,+35.7
1819,Manchester City,53,17,+36,47,43.6,21.0,+22.6
1819,Chelsea,46,14,+32,42,39.1,13.2,+25.9
1819,Birmingham City,29,17,+12,40,23.2,21.3,+1.9
1819,Reading,33,30,+3,27,27.3,28.8,-1.5
1819,Bristol City,17,34,-17,25,11.8,33.0,-21.2
1819,West Ham,25,37,-12,23,21.8,31.2,-9.4
1819,Liverpool,21,38,-17,22,16.7,24.0,-7.4
1819,Brighton,16,38,-22,16,19.3,25.2,-5.8
1819,Everton,15,38,-23,12,19.5,26.7,-7.2
1819,Yeovil Town,11,60,-49,-3,10.7,44.4,-33.7
