Season,Squad,GF,GA,GD,Pts,xG,xGA,xGD
2021,Atlético Madrid,67,25,+42,86,52.4,32.7,+19.6
2021,Real Madrid,67,28,+39,84,61.6,36.5,+25.2
2021,Barcelona,85,38,+47,79,78.9,39.6,+39.3
2021,Sevilla,53,33,+20,77,50.9,35.0,+15.9
2021,Real Sociedad,59,38,+21,62,60.4,36.6,+23.8
2021,Betis,50,50,0,61,46.0,45.5,+0.5
2021,Villarreal,60,44,+16,58,58.0,43.5,+14.5
2021,Celta Vigo,55,57,-2,53,47.7,49.5,-1.8
2021,Granada,47,65,-18,46,39.5,53.7,-14.2
2021,Athletic Club,46,42,+4,46,44.4,36.3,+8.1
2021,Osasuna,37,48,-11,44,37.6,51.3,-13.7
2021,Cádiz,36,58,-22,44,34.0,55.0,-21.0
2021,Valencia,50,53,-3,43,43.9,54.0,-10.2
2021,Levante,46,57,-11,41,41.0,53.9,-13.0
2021,Getafe,28,43,-15,38,32.7,40.3,-7.7
2021,Alavés,36,57,-21,38,42.4,50.8,-8.3
2021,Elche,34,55,-21,36,30.5,58.4,-27.9
2021,Huesca,34,53,-19,34,35.3,44.3,-9.0
2021,Valladolid,34,57,-23,31,37.1,51.8,-14.7
2021,Eibar,29,52,-23,30,41.5,47.0,-5.6
1920,Real Madrid,70,25,+45,87,63.4,28.4,+35.0
1920,Barcelona,86,38,+48,82,66.2,36.0,+30.2
1920,Atlético Madrid,51,27,+24,70,52.6,30.8,+21.8
1920,Sevilla,54,34,+20,70,47.1,33.6,+13.6
1920,Villarreal,63,49,+14,60,57.0,44.6,+12.4
1920,Real Sociedad,56,48,+8,56,45.2,39.2,+6.0
1920,Granada,52,45,+7,56,40.9,41.1,-0.2
1920,Getafe,43,37,+6,54,37.9,39.0,-1.1
1920,Valencia,46,53,-7,53,40.3,52.3,-12.0
1920,Osasuna,46,54,-8,52,44.5,46.2,-1.7
1920,Athletic Club,41,38,+3,51,38.5,46.2,-7.7
1920,Levante,47,53,-6,49,41.9,60.7,-18.8
1920,Valladolid,32,43,-11,42,35.5,46.3,-10.8
1920,Eibar,39,56,-17,42,41.4,51.0,-9.6
1920,Betis,48,60,-12,41,47.3,49.5,-2.2
1920,Alavés,34,59,-25,39,37.0,53.2,-16.2
1920,Celta Vigo,37,49,-12,37,37.7,42.0,-4.3
1920,Leganés,30,51,-21,36,37.3,39.0,-1.6
1920,Mallorca,40,65,-25,33,39.2,60.6,-21.4
1920,Espanyol,27,58,-31,25,33.0,44.4,-11.4
1819,Barcelona,90,36,+54,87,73.8,40.5,+33.3
1819,Atlético Madrid,55,29,+26,76,46.0,38.7,+7.3
1819,Real Madrid,63,46,+17,68,61.3,45.6,+15.7
1819,Valencia,51,35,+16,61,57.3,40.3,+17.0
1819,Getafe,48,35,+13,59,44.7,40.7,+4.1
1819,Sevilla,62,47,+15,59,63.5,44.1,+19.4
1819,Espanyol,48,50,-2,53,48.8,50.8,-2.0
1819,Athletic Club,41,45,-4,53,40.2,43.8,-3.6
1819,Real Sociedad,45,46,-1,50,46.5,43.9,+2.7
1819,Betis,44,52,-8,50,48.8,47.1,+1.7
1819,Alavés,39,50,-11,50,37.3,51.0,-13.7
1819,Eibar,46,50,-4,47,50.7,45.1,+5.7
1819,Leganés,37,43,-6,45,37.4,40.0,-2.6
1819,Villarreal,49,52,-3,44,50.7,53.4,-2.6
1819,Levante,59,66,-7,44,49.9,67.9,-18.0
1819,Valladolid,32,51,-19,41,40.3,52.9,-12.6
1819,Celta Vigo,53,62,-9,41,44.8,59.7,-14.9
1819,Girona,37,53,-16,37,38.6,50.5,-11.9
1819,Huesca,43,65,-22,33,45.9,57.0,-11.2
1819,Rayo Vallecano,41,70,-29,32,40.8,54.5,-13.7
1718,Barcelona,99,29,+70,93,78.3,41.1,+37.2
1718,Atlético Madrid,58,22,+36,79,47.8,37.0,+10.8
1718,Real Madrid,94,44,+50,76,83.3,45.3,+38.0
1718,Valencia,65,38,+27,73,56.0,44.8,+11.2
1718,Villarreal,57,50,+7,61,52.2,55.4,-3.2
1718,Betis,60,61,-1,60,41.1,50.6,-9.5
1718,Sevilla,49,58,-9,58,56.5,55.3,+1.3
1718,Getafe,42,33,+9,55,46.4,36.8,+9.6
1718,Eibar,44,50,-6,51,39.9,44.3,-4.4
1718,Girona,50,59,-9,51,48.9,46.9,+2.0
1718,Espanyol,36,42,-6,49,42.9,47.7,-4.8
1718,Real Sociedad,66,59,+7,49,55.0,47.2,+7.8
1718,Celta Vigo,59,60,-1,49,52.0,51.6,+0.4
1718,Alavés,40,50,-10,47,38.8,53.2,-14.4
1718,Levante,44,58,-14,46,42.4,60.6,-18.1
1718,Athletic Club,41,49,-8,43,45.6,47.4,-1.8
1718,Leganés,34,51,-17,43,40.0,46.7,-6.7
1718,La Coruña,38,76,-38,29,49.2,57.8,-8.6
1718,Las Palmas,24,74,-50,22,38.0,65.2,-27.3
1718,Málaga,24,61,-37,20,33.4,52.7,-19.3
