Season,Squad,GF,GA,GD,Pts,xG,xGA,xGD
2021,Lille,64,23,+41,83,50.0,26.7,+23.4
2021,Paris S-G,86,28,+58,82,82.4,37.3,+45.1
2021,Monaco,76,42,+34,78,66.9,33.1,+33.8
2021,Lyon,81,43,+38,76,84.6,43.2,+41.4
2021,Marseille,54,47,+7,60,47.5,46.0,+1.5
2021,Rennes,52,40,+12,58,50.0,40.0,+9.9
2021,Lens,55,54,+1,57,56.0,47.6,+8.4
2021,Montpellier,60,62,-2,54,47.9,65.7,-17.8
2021,Nice,50,53,-3,52,46.9,52.1,-5.1
2021,Metz,44,48,-4,47,41.3,49.3,-8.1
2021,Saint-Étienne,42,54,-12,46,48.2,48.5,-0.3
2021,Bordeaux,42,56,-14,45,41.9,56.7,-14.8
2021,Angers,40,58,-18,44,41.7,50.9,-9.1
2021,Reims,42,50,-8,42,33.3,61.1,-27.7
2021,Strasbourg,49,58,-9,42,52.6,46.6,+6.0
2021,Lorient,50,68,-18,42,48.8,53.1,-4.3
2021,Brest,50,66,-16,41,47.5,55.6,-8.2
2021,Nantes,47,55,-8,40,48.9,55.8,-6.9
2021,Nîmes,40,71,-31,35,41.4,64.9,-23.5
2021,Dijon,25,73,-48,21,31.5,75.3,-43.8
1920,Paris S-G,75,24,+51,68,70.9,22.8,+48.1
1920,Marseille,41,29,+12,56,34.7,30.5,+4.2
1920,Rennes,38,24,+14,50,36.3,29.4,+7.0
1920,Lille,35,27,+8,49,39.7,29.8,+10.0
1920,Nice,41,38,+3,41,35.2,41.7,-6.5
1920,Reims,26,21,+5,41,28.4,26.3,+2.1
1920,Lyon,42,27,+15,40,37.2,26.0,+11.2
1920,Montpellier,35,34,+1,40,32.0,34.1,-2.2
1920,Monaco,44,44,0,40,48.0,39.9,+8.0
1920,Strasbourg,32,32,0,38,34.9,30.8,+4.1
1920,Angers,28,33,-5,39,27.0,28.7,-1.6
1920,Bordeaux,40,34,+6,37,29.7,33.3,-3.5
1920,Nantes,28,31,-3,37,27.8,33.6,-5.8
1920,Brest,34,37,-3,34,30.2,40.5,-10.3
1920,Metz,27,35,-8,34,27.3,34.2,-6.9
1920,Dijon,27,37,-10,30,28.9,43.1,-14.2
1920,Saint-Étienne,29,45,-16,30,28.8,35.4,-6.6
1920,Nîmes,29,44,-15,27,29.6,44.0,-14.3
1920,Amiens,31,50,-19,23,26.7,35.4,-8.7
1920,Toulouse,22,58,-36,13,30.1,44.2,-14.1
1819,Paris S-G,105,35,+70,91,91.0,35.8,+55.2
1819,Lille,68,33,+35,75,58.4,42.8,+15.6
1819,Lyon,70,47,+23,72,73.8,42.2,+31.6
1819,Saint-Étienne,59,41,+18,66,55.8,50.3,+5.5
1819,Marseille,60,52,+8,61,52.6,46.2,+6.4
1819,Montpellier,53,42,+11,59,45.2,43.2,+2.0
1819,Nice,30,35,-5,56,44.2,49.0,-4.8
1819,Reims,39,42,-3,55,40.6,44.9,-4.3
1819,Nîmes,57,58,-1,53,47.9,55.8,-7.9
1819,Rennes,55,52,+3,52,52.2,48.7,+3.5
1819,Strasbourg,58,48,+10,49,42.2,49.6,-7.4
1819,Nantes,48,48,0,48,47.7,47.9,-0.2
1819,Angers,44,49,-5,46,47.7,46.9,+0.7
1819,Bordeaux,34,42,-8,41,40.3,53.2,-12.8
1819,Amiens,31,52,-21,38,34.6,46.4,-11.8
1819,Toulouse,35,57,-22,38,44.0,58.6,-14.6
1819,Monaco,38,57,-19,36,48.7,47.2,+1.6
1819,Dijon,31,60,-29,34,39.5,61.0,-21.5
1819,Caen,29,54,-25,33,31.1,57.6,-26.5
1819,Guingamp,28,68,-40,27,39.9,50.1,-10.2
1718,Paris S-G,108,29,+79,93,89.2,32.1,+57.1
1718,Monaco,85,45,+40,80,61.5,47.0,+14.5
1718,Lyon,87,43,+44,78,67.0,39.7,+27.3
1718,Marseille,80,47,+33,77,72.1,42.8,+29.3
1718,Rennes,50,44,+6,58,49.4,53.5,-4.1
1718,Bordeaux,53,48,+5,55,52.6,40.8,+11.8
1718,Saint-Étienne,47,50,-3,55,52.0,51.7,+0.4
1718,Nice,53,52,+1,54,51.7,48.2,+3.5
1718,Nantes,36,41,-5,52,43.3,41.3,+2.0
1718,Montpellier,36,33,+3,51,42.4,41.7,+0.7
1718,Dijon,55,73,-18,48,42.9,69.2,-26.3
1718,Guingamp,48,59,-11,47,45.6,53.6,-8.0
1718,Amiens,37,42,-5,45,35.3,55.4,-20.2
1718,Angers,42,52,-10,41,45.6,44.0,+1.6
1718,Strasbourg,44,67,-23,38,45.4,55.8,-10.4
1718,Caen,27,52,-25,38,42.2,48.7,-6.6
1718,Lille,41,67,-26,38,37.7,56.7,-19.0
1718,Toulouse,38,54,-16,37,46.0,53.3,-7.3
1718,Troyes,32,59,-27,33,36.9,54.2,-17.3
1718,Metz,34,76,-42,26,37.9,67.1,-29.1
