Season,Squad,GF,GA,GD,Pts,xG,xGA,xGD
2021,Inter,89,35,+54,91,74.8,38.6,+36.2
2021,Milan,74,41,+33,79,71.2,45.7,+25.5
2021,Atalanta,90,47,+43,78,77.2,42.3,+34.9
2021,Juventus,77,38,+39,78,74.2,38.2,+36.0
2021,Napoli,86,41,+45,77,67.7,41.6,+26.1
2021,Lazio,61,55,+6,68,59.8,47.8,+12.0
2021,Roma,68,58,+10,62,68.9,51.4,+17.5
2021,Sassuolo,64,56,+8,62,59.2,54.9,+4.3
2021,Sampdoria,52,54,-2,52,46.2,56.9,-10.7
2021,Hellas Verona,46,48,-2,45,43.5,50.3,-6.8
2021,Genoa,47,58,-11,42,37.8,54.5,-16.8
2021,Bologna,51,65,-14,41,53.4,64.7,-11.2
2021,Fiorentina,47,59,-12,40,45.2,55.1,-9.9
2021,Udinese,42,58,-16,40,42.9,52.1,-9.2
2021,Spezia,52,72,-20,39,46.7,69.3,-22.6
2021,Cagliari,43,59,-16,37,45.5,63.1,-17.6
2021,Torino,50,69,-19,37,50.2,59.0,-8.8
2021,Benevento,40,75,-35,33,41.6,66.1,-24.5
2021,Crotone,45,92,-47,23,38.5,71.6,-33.1
2021,Parma,39,83,-44,20,40.0,61.4,-21.4
1920,Juventus,76,43,+33,83,68.7,41.8,+26.9
1920,Inter,81,36,+45,82,72.3,40.6,+31.6
1920,Atalanta,98,48,+50,78,81.8,41.4,+40.5
1920,Lazio,79,42,+37,78,68.4,49.5,+18.9
1920,Roma,77,51,+26,70,72.6,48.3,+24.3
1920,Milan,63,46,+17,66,59.5,47.1,+12.4
1920,Napoli,61,50,+11,62,62.4,39.4,+23.0
1920,Sassuolo,69,63,+6,51,56.0,63.8,-7.8
1920,Hellas Verona,47,51,-4,49,49.2,52.5,-3.3
1920,Fiorentina,51,48,+3,49,54.7,48.9,+5.8
1920,Parma,56,57,-1,49,46.6,62.1,-15.5
1920,Bologna,52,65,-13,47,53.1,54.9,-1.8
1920,Udinese,37,51,-14,45,40.6,51.7,-11.1
1920,Cagliari,52,56,-4,45,41.4,57.2,-15.9
1920,Sampdoria,48,65,-17,42,51.2,53.3,-2.2
1920,Torino,46,68,-22,40,42.4,62.8,-20.4
1920,Genoa,47,73,-26,39,47.4,59.2,-11.8
1920,Lecce,52,85,-33,35,53.9,84.0,-30.1
1920,Brescia,35,79,-44,25,42.4,77.6,-35.2
1920,SPAL,27,77,-50,20,39.1,67.5,-28.3
1819,Juventus,70,30,+40,90,58.2,36.1,+22.1
1819,Napoli,74,36,+38,79,68.1,34.5,+33.7
1819,Atalanta,77,46,+31,69,66.9,41.2,+25.7
1819,Inter,57,33,+24,69,64.1,38.2,+25.9
1819,Milan,55,36,+19,68,48.1,40.0,+8.1
1819,Roma,66,48,+18,66,64.3,54.4,+9.9
1819,Torino,52,37,+15,63,49.3,48.0,+1.3
1819,Lazio,56,46,+10,59,56.4,42.7,+13.7
1819,Sampdoria,60,51,+9,53,49.8,52.7,-2.9
1819,Bologna,48,56,-8,44,47.4,46.7,+0.7
1819,Sassuolo,53,60,-7,43,46.4,57.2,-10.8
1819,Udinese,39,53,-14,43,41.5,57.7,-16.2
1819,SPAL,44,56,-12,42,41.5,48.6,-7.0
1819,Parma,41,61,-20,41,38.6,65.2,-26.6
1819,Cagliari,36,54,-18,41,39.1,58.5,-19.4
1819,Fiorentina,47,45,+2,41,52.4,42.3,+10.2
1819,Genoa,39,57,-18,38,43.6,53.8,-10.2
1819,Empoli,51,70,-19,38,52.0,61.0,-8.9
1819,Frosinone,29,69,-40,25,35.5,60.8,-25.3
1819,Chievo,25,75,-50,17,35.6,59.6,-23.9
1718,Juventus,86,24,+62,95,59.8,28.7,+31.0
1718,Napoli,77,29,+48,91,66.6,25.4,+41.2
1718,Roma,61,28,+33,77,69.3,39.9,+29.4
1718,Inter,66,30,+36,72,60.8,35.3,+25.6
1718,Lazio,89,49,+40,72,63.5,44.4,+19.0
1718,Milan,56,42,+14,64,54.2,39.4,+14.8
1718,Atalanta,57,39,+18,60,67.4,37.2,+30.2
1718,Fiorentina,54,46,+8,57,57.2,42.5,+14.7
1718,Torino,54,46,+8,54,47.1,52.4,-5.3
1718,Sampdoria,56,60,-4,54,51.3,63.2,-12.0
1718,Sassuolo,29,59,-30,43,49.4,49.3,+0.1
1718,Genoa,33,43,-10,41,43.3,45.6,-2.2
1718,Chievo,36,59,-23,40,32.3,54.3,-21.9
1718,Udinese,48,63,-15,40,43.6,50.8,-7.2
1718,Bologna,40,52,-12,39,37.1,53.7,-16.6
1718,Cagliari,33,61,-28,39,40.1,58.7,-18.7
1718,SPAL,39,59,-20,38,37.9,60.1,-22.2
1718,Crotone,40,66,-26,35,36.2,59.0,-22.8
1718,Hellas Verona,30,78,-48,25,34.5,76.1,-41.6
1718,Benevento,33,84,-51,21,39.1,74.7,-35.6
